k,p,realization,N,E,k_mean,C,L,lambda2
8,0.4,20,100,400,8.0,0.18626190476190477,2.5038383838383838,1.9551711447940057
8,0.4,21,100,400,8.0,0.19687806637806637,2.5228282828282826,2.014884781750352
8,0.4,22,100,400,8.0,0.1759169719169719,2.5024242424242424,2.2553446219931543
8,0.4,23,100,400,8.0,0.1504108669108669,2.471919191919192,2.1464368214212635
8,0.4,24,100,400,8.0,0.19812759462759463,2.533939393939394,1.822535745453118
8,0.4,25,100,400,8.0,0.17325180375180374,2.5002020202020203,2.085074176119276
8,0.4,26,100,400,8.0,0.17362987012987013,2.508080808080808,1.9754374928150895
8,0.4,27,100,400,8.0,0.15218614718614717,2.477777777777778,2.063797563269648
8,0.4,28,100,400,8.0,0.18465656565656566,2.521010101010101,1.914856032535684
8,0.4,29,100,400,8.0,0.1707068487068487,2.486262626262626,1.9907114198147424
8,0.5,0,100,400,8.0,0.1435050505050505,2.455151515151515,2.4471723857582384
8,0.5,1,100,400,8.0,0.13413369963369962,2.4593939393939395,2.3349054730577623
8,0.5,2,100,400,8.0,0.11702419802419803,2.458181818181818,2.272559133706594
8,0.5,3,100,400,8.0,0.15135697635697634,2.4761616161616162,2.2114942416599885
8,0.5,4,100,400,8.0,0.11657997557997557,2.4446464646464645,2.663190103285375
8,0.5,5,100,400,8.0,0.13428288378288378,2.4525252525252523,2.398321240186136
8,0.5,6,100,400,8.0,0.13722294372294372,2.4593939393939395,2.4618524025881934
8,0.5,7,100,400,8.0,0.13477489177489177,2.4771717171717174,2.2409617885165023
8,0.5,8,100,400,8.0,0.14755927405927405,2.468080808080808,2.455309679758185
8,0.5,9,100,400,8.0,0.12147274947274948,2.4496969696969697,2.4457395302942873
8,0.5,10,100,400,8.0,0.12348934398934398,2.456161616161616,2.321866049722748
8,0.5,11,100,400,8.0,0.1198946608946609,2.458181818181818,2.2393119118229263
8,0.5,12,100,400,8.0,0.12439538239538239,2.459191919191919,2.4257239405585214
8,0.5,13,100,400,8.0,0.1219891774891775,2.4383838383838383,2.536789215699598
8,0.5,14,100,400,8.0,0.1405082695082695,2.452121212121212,2.3158489953547168
8,0.5,15,100,400,8.0,0.12869425019425018,2.4565656565656564,2.482621994477854
8,0.5,16,100,400,8.0,0.11014319014319014,2.441818181818182,2.3912569798862426
8,0.5,17,100,400,8.0,0.12526551226551227,2.4644444444444447,2.281156748657037
8,0.5,18,100,400,8.0,0.1125086025086025,2.4496969696969697,2.461006174482294
8,0.5,19,100,400,8.0,0.14245382395382394,2.4668686868686867,2.2284809705124253
8,0.5,20,100,400,8.0,0.12069713619713619,2.4602020202020203,2.2888118883492585
8,0.5,21,100,400,8.0,0.17013780663780664,2.5084848484848483,2.1155400565888804
8,0.5,22,100,400,8.0,0.17417371517371516,2.491111111111111,2.002369122753871
8,0.5,23,100,400,8.0,0.13607792207792208,2.459191919191919,2.0552106048030474
8,0.5,24,100,400,8.0,0.14872222222222223,2.4684848484848483,2.2245149499374026
8,0.5,25,100,400,8.0,0.13664613164613165,2.4735353535353535,2.281712420574473
8,0.5,26,100,400,8.0,0.1256867021867022,2.4585858585858587,2.384895496493293
8,0.5,27,100,400,8.0,0.1442242202242202,2.4743434343434343,2.198283450943995
8,0.5,28,100,400,8.0,0.1362899877899878,2.4525252525252523,2.380453231154462
8,0.5,29,100,400,8.0,0.11195382395382396,2.4478787878787878,2.610462430303234
8,0.7,0,100,400,8.0,0.07255344655344655,2.4305050505050505,2.727993720483351
8,0.7,1,100,400,8.0,0.08605033855033854,2.4246464646464645,2.7471299170969345
8,0.7,2,100,400,8.0,0.07767310467310468,2.425858585858586,2.6654584749864183
8,0.7,3,100,400,8.0,0.07613924963924963,2.413939393939394,2.844065590096505
8,0.7,4,100,400,8.0,0.07026379176379177,2.4082828282828284,2.742182164077589
8,0.7,5,100,400,8.0,0.08680735930735932,2.421010101010101,2.5903701553015877
8,0.7,6,100,400,8.0,0.07472577422577423,2.4197979797979796,2.798319323165611
8,0.7,7,100,400,8.0,0.08360528360528359,2.432121212121212,2.797798140475224
8,0.7,8,100,400,8.0,0.08335281385281386,2.418787878787879,2.7752180973731377
8,0.7,9,100,400,8.0,0.08675563325563326,2.4206060606060604,2.5771850718393554
8,0.7,10,100,400,8.0,0.0881044511044511,2.4256565656565656,2.5581895856899646
8,0.7,11,100,400,8.0,0.08331601731601732,2.4246464646464645,2.6956342853303576
8,0.7,12,100,400,8.0,0.05525557775557775,2.4064646464646464,2.7892097918717536
8,0.7,13,100,400,8.0,0.063506549006549,2.408080808080808,2.65078749711501
8,0.7,14,100,400,8.0,0.08501576201576201,2.418181818181818,2.5913592364727265
8,0.7,15,100,400,8.0,0.07117604617604617,2.4165656565656564,2.591812862037862
8,0.7,16,100,400,8.0,0.0956124431124431,2.4193939393939394,2.4837596030469644
8,0.7,17,100,400,8.0,0.08291896991896992,2.4208080808080807,2.6606796799149923
8,0.7,18,100,400,8.0,0.08765867465867466,2.4242424242424243,2.7113701666435954
8,0.7,19,100,400,8.0,0.07594466644466644,2.4242424242424243,2.742741871671003
8,0.7,20,100,400,8.0,0.07833694083694083,2.422222222222222,2.493843144293914
8,0.7,21,100,400,8.0,0.08406998556998557,2.432929292929293,2.558953766358373
8,0.7,22,100,400,8.0,0.09404417804417804,2.4292929292929295,2.593110134861034
8,0.7,23,100,400,8.0,0.07165656565656565,2.4185858585858586,2.7998546657868353
8,0.7,24,100,400,8.0,0.07835930735930735,2.422828282828283,2.641813113735586
8,0.7,25,100,400,8.0,0.08736657786657787,2.412929292929293,2.6592444715932086
8,0.7,26,100,400,8.0,0.08482173382173382,2.414747474747475,2.8441129902507964
8,0.7,27,100,400,8.0,0.07649333999333999,2.4244444444444446,2.5733442650066594
8,0.7,28,100,400,8.0,0.07463377472201001,2.418989898989899,2.55375840724097
